atm_inventario_año;atm_inventario_grupo_cont;atm_inventario_sector;atm_inventario_sector_descripcion;atm_inventario_cont_desc;atm_inventario_cont_unidades;atm_inventario_cont_cantidad
2021;Partículas;7;Transporte por carretera;PM10;t;2022,8
2021;Partículas;8;Otros modos de transporte y maquinaria móvil;PM10;t;245,01
2021;Partículas;9;Tratamiento y eliminación de residuos;PM10;t;411,81
2021;Partículas;10;Agricultura;PM10;t;632,16
2021;Partículas;11;Otras fuentes y sumideros (naturaleza);PM10;t;184,08
2021;Partículas;1;Combustión en la producción y transformación de energía;PST;t;61,36
2021;Partículas;2;Plantas de combustión no industrial;PST;t;1244,15
2021;Partículas;3;Plantas de combustión industrial;PST;t;761,52
2021;Partículas;4;Procesos industriales sin combustión;PST;t;4208,37
2021;Partículas;5;Extracción y distribución de combustibles fósiles y energía geotérmica;PST;t;0
2021;Partículas;6;Uso de disolventes y otros productos;PST;t;248,72
2021;Partículas;7;Transporte por carretera;PST;t;2756,34
2021;Partículas;8;Otros modos de transporte y maquinaria móvil;PST;t;245,66
2021;Partículas;9;Tratamiento y eliminación de residuos;PST;t;416,58
2021;Partículas;10;Agricultura;PST;t;823,13
2021;Partículas;11;Otras fuentes y sumideros (naturaleza);PST;t;284,49
2021;Partículas;1;Combustión en la producción y transformación de energía;BC;t;0,19
2021;Partículas;2;Plantas de combustión no industrial;BC;t;73,52
2021;Partículas;3;Plantas de combustión industrial;BC;t;179,19
2021;Partículas;4;Procesos industriales sin combustión;BC;t;0,16
2021;Partículas;5;Extracción y distribución de combustibles fósiles y energía geotérmica;BC;t;0
2021;Partículas;6;Uso de disolventes y otros productos;BC;t;101,15
2021;Partículas;7;Transporte por carretera;BC;t;661,81
2021;Partículas;8;Otros modos de transporte y maquinaria móvil;BC;t;111,22
2021;Partículas;9;Tratamiento y eliminación de residuos;BC;t;103,2
2021;Partículas;10;Agricultura;BC;t;0
2021;Partículas;11;Otras fuentes y sumideros (naturaleza);BC;t;13,55
2021;Contaminantes orgánicos persistentes;1;Combustión en la producción y transformación de energía;HCB;kg;0
2021;Contaminantes orgánicos persistentes;2;Plantas de combustión no industrial;HCB;kg;0,01
2021;Contaminantes orgánicos persistentes;3;Plantas de combustión industrial;HCB;kg;0,03
2021;Contaminantes orgánicos persistentes;4;Procesos industriales sin combustión;HCB;kg;0
2021;Contaminantes orgánicos persistentes;5;Extracción y distribución de combustibles fósiles y energía geotérmica;HCB;kg;0
2021;Contaminantes orgánicos persistentes;6;Uso de disolventes y otros productos;HCB;kg;0
2021;Contaminantes orgánicos persistentes;7;Transporte por carretera;HCB;kg;0
2021;Contaminantes orgánicos persistentes;8;Otros modos de transporte y maquinaria móvil;HCB;kg;0
2021;Contaminantes orgánicos persistentes;9;Tratamiento y eliminación de residuos;HCB;kg;0,08
2021;Contaminantes orgánicos persistentes;10;Agricultura;HCB;kg;0
2021;Contaminantes orgánicos persistentes;11;Otras fuentes y sumideros (naturaleza);HCB;kg;0
2021;Contaminantes orgánicos persistentes;1;Combustión en la producción y transformación de energía;DIOX;g;0,01
2021;Contaminantes orgánicos persistentes;2;Plantas de combustión no industrial;DIOX;g;0,88
2021;Contaminantes orgánicos persistentes;3;Plantas de combustión industrial;DIOX;g;0,51
2021;Contaminantes orgánicos persistentes;4;Procesos industriales sin combustión;DIOX;g;1,16
2021;Contaminantes orgánicos persistentes;5;Extracción y distribución de combustibles fósiles y energía geotérmica;DIOX;g;0
2021;Contaminantes orgánicos persistentes;6;Uso de disolventes y otros productos;DIOX;g;0
2021;Contaminantes orgánicos persistentes;7;Transporte por carretera;DIOX;g;1,09
2021;Contaminantes orgánicos persistentes;8;Otros modos de transporte y maquinaria móvil;DIOX;g;0
2021;Contaminantes orgánicos persistentes;9;Tratamiento y eliminación de residuos;DIOX;g;3,71
2021;Contaminantes orgánicos persistentes;10;Agricultura;DIOX;g;0
2021;Contaminantes orgánicos persistentes;11;Otras fuentes y sumideros (naturaleza);DIOX;g;0
2021;Contaminantes orgánicos persistentes;1;Combustión en la producción y transformación de energía;BENZO(a);kg;0,97
2021;Contaminantes orgánicos persistentes;2;Plantas de combustión no industrial;BENZO(a);kg;210,14
2021;Contaminantes orgánicos persistentes;3;Plantas de combustión industrial;BENZO(a);kg;48,31
2021;Contaminantes orgánicos persistentes;4;Procesos industriales sin combustión;BENZO(a);kg;0
2021;Contaminantes orgánicos persistentes;5;Extracción y distribución de combustibles fósiles y energía geotérmica;BENZO(a);kg;0
2021;Contaminantes orgánicos persistentes;6;Uso de disolventes y otros productos;BENZO(a);kg;0,95
